sequence_id,domain,method,window,n_KL,n_NLL,mean_KL,sum_KL,mean_NLL,delta_NLL_vs_native,max_token_KL,p95_token_KL,p99_token_KL,min_token_KL,nonfinite
rtpa_v02_natural_language_confirm0,natural_language,NATIVE_REFERENCE,primary,1008,1007,0.0,0.0,1.5258656775938997,0.0,0.0,0.0,0.0,0.0,0
rtpa_v02_natural_language_confirm0,natural_language,NATIVE_REFERENCE,early,496,496,0.0,0.0,1.924105405792036,0.0,0.0,0.0,0.0,0.0,0
rtpa_v02_natural_language_confirm0,natural_language,NATIVE_REFERENCE,late,512,511,0.0,0.0,1.139315960986707,0.0,0.0,0.0,0.0,0.0,0
rtpa_v02_natural_language_confirm0,natural_language,Q8_TARGET3,primary,1008,1007,0.014519229256293722,14.635383090344071,1.5497167943291104,0.023851116735210676,0.77327836493213,0.04851847667215297,0.15877138750847491,5.35441779802007e-07,0
rtpa_v02_natural_language_confirm0,natural_language,Q8_TARGET3,early,496,496,0.014174695696953028,7.030649065688702,1.9525366876120598,0.028431281820023857,0.77327836493213,0.04508954339802239,0.1046629727428551,5.439379500141669e-07,0
rtpa_v02_natural_language_confirm0,natural_language,Q8_TARGET3,late,512,511,0.014852996141905021,7.60473402465537,1.158721359753097,0.019405398766390025,0.6587722066309792,0.055169775967093285,0.19027874000511136,5.35441779802007e-07,0
rtpa_v02_natural_language_confirm0,natural_language,FP16_TARGET3,primary,1008,1007,0.0008064678650730901,0.8129196079936749,1.5233877743151725,-0.0024779032787272115,0.01665833440241689,0.00285290850153127,0.005826411140799817,2.4568835568116613e-09,0
rtpa_v02_natural_language_confirm0,natural_language,FP16_TARGET3,early,496,496,0.0008803198784465198,0.4366386597094738,1.918558498198308,-0.005546907593728001,0.01665833440241689,0.0028156623960639586,0.006128506196636729,1.461804410128494e-08,0
rtpa_v02_natural_language_confirm0,natural_language,FP16_TARGET3,late,512,511,0.0007349237271175803,0.3762809482842011,1.1398169738336945,0.0005010128469875585,0.00994470628058199,0.002986875562274979,0.0044925463726207876,2.4568835568116613e-09,0
rtpa_v02_natural_language_confirm0,natural_language,ENERGY_TARGET3,primary,1008,1007,0.009557411271209236,9.63387056137891,1.5361961098997334,0.010330432305833748,0.3934772674822644,0.034560037912999976,0.0998366712654232,1.4271558542733508e-07,0
rtpa_v02_natural_language_confirm0,natural_language,ENERGY_TARGET3,early,496,496,0.008689599974294644,4.310041587250144,1.9276749078573647,0.0035695020653288,0.31113537585113293,0.025210770943505163,0.06530805271712453,1.633325870434794e-07,0
rtpa_v02_natural_language_confirm0,natural_language,ENERGY_TARGET3,late,512,511,0.010398103465095246,5.323828974128766,1.156208861784303,0.016892900797595978,0.3934772674822644,0.04058443061668035,0.1201585194812475,1.4271558542733508e-07,0
rtpa_v02_natural_language_confirm0,natural_language,DIAG_TARGET3,primary,1008,1007,0.00792867450944405,7.992103905519602,1.5275154941797888,0.0016498165858891412,0.36361987545548236,0.025507712310734097,0.08290442001615686,9.496617231570573e-08,0
rtpa_v02_natural_language_confirm0,natural_language,DIAG_TARGET3,early,496,496,0.007044194903863339,3.4939206723162157,1.9264535300622874,0.0023481242702514393,0.36361987545548236,0.023034776947766053,0.05035154288634793,9.496617231570573e-08,0
rtpa_v02_natural_language_confirm0,natural_language,DIAG_TARGET3,late,512,511,0.008785514127350362,4.4981832332033855,1.1402879681568552,0.0009720071701482258,0.31146824801374196,0.028909812066828744,0.1026699863082891,2.003059401645298e-07,0
rtpa_v02_natural_language_confirm0,natural_language,JOINT_TARGET3,primary,1008,1007,0.006826393029959004,6.881004174198675,1.5273756834017433,0.0015100058078436618,0.18769568143719492,0.025990111659189925,0.05829722179538462,6.817899413291835e-08,0
rtpa_v02_natural_language_confirm0,natural_language,JOINT_TARGET3,early,496,496,0.006482483586776221,3.2153118590410052,1.9189978381873225,-0.0051075676047134255,0.17734139548253694,0.023355628120778796,0.052413261300669395,6.817899413291835e-08,0
rtpa_v02_natural_language_confirm0,natural_language,JOINT_TARGET3,late,512,511,0.007159555303042324,3.6656923151576697,1.1472492865844295,0.00793332559772253,0.18769568143719492,0.027341898307837606,0.07754768890411502,8.807836607723321e-08,0
rtpa_v02_natural_language_confirm1,natural_language,NATIVE_REFERENCE,primary,1008,1007,0.0,0.0,1.9614119370548586,0.0,0.0,0.0,0.0,0.0,0
rtpa_v02_natural_language_confirm1,natural_language,NATIVE_REFERENCE,early,496,496,0.0,0.0,2.5282585894467133,0.0,0.0,0.0,0.0,0.0,0
rtpa_v02_natural_language_confirm1,natural_language,NATIVE_REFERENCE,late,512,511,0.0,0.0,1.4112046188819427,0.0,0.0,0.0,0.0,0.0,0
rtpa_v02_natural_language_confirm1,natural_language,Q8_TARGET3,primary,1008,1007,0.011587718497568058,11.680420245548603,1.9638263230700819,0.0024143860152232577,0.15802406756184048,0.03990176537295192,0.07896071656505796,5.620082038891632e-07,0
