document,domain,source_family,label,shared_variant_index,KL,NLL,delta_NLL_ref,late_KL,p99_KL,top1pct_KL,max_KL,top1_agreement,negative_KL_roundoff_count
TEST_NEW__code__agronholm__anyio__0,code,agronholm/anyio,s0:DW_OS4x2,0,0.0349178908656721,1.3265568377665407,0.028343579645838644,0.029462624981757796,0.22050218421585255,0.3382947536728824,0.6511168830638037,0.9474747474747475,0
TEST_NEW__code__agronholm__anyio__0,code,agronholm/anyio,s1:DW_POOL_R8,0,0.0349178908656721,1.3265568377665407,0.028343579645838644,0.029462624981757796,0.22050218421585255,0.3382947536728824,0.6511168830638037,0.9474747474747475,0
TEST_NEW__code__agronholm__anyio__0,code,agronholm/anyio,s2:DW_OS4x2,0,0.0349178908656721,1.3265568377665407,0.028343579645838644,0.029462624981757796,0.22050218421585255,0.3382947536728824,0.6511168830638037,0.9474747474747475,0
TEST_NEW__code__agronholm__anyio__0,code,agronholm/anyio,s0:DW_POOL_R8,1,0.036299276746168244,1.3220522008157958,0.023838942695094078,0.030004188158889427,0.24802876348702313,0.5170004147938886,0.7238904591664986,0.9454545454545454,0
TEST_NEW__code__agronholm__anyio__0,code,agronholm/anyio,s0:B_OUTDIAG_POOL_R8,2,0.03176644685224005,1.3267968152401888,0.028583557119487204,0.026619713746796808,0.26766466711230563,0.3525659606336361,0.5241012197333949,0.9454545454545454,0
TEST_NEW__code__agronholm__anyio__0,code,agronholm/anyio,s0:B_OUTDIAG_OS4x2,2,0.03176644685224005,1.3267968152401888,0.028583557119487204,0.026619713746796808,0.26766466711230563,0.3525659606336361,0.5241012197333949,0.9454545454545454,0
TEST_NEW__code__agronholm__anyio__0,code,agronholm/anyio,s1:DW_OS4x2,2,0.03176644685224005,1.3267968152401888,0.028583557119487204,0.026619713746796808,0.26766466711230563,0.3525659606336361,0.5241012197333949,0.9454545454545454,0
TEST_NEW__code__agronholm__anyio__0,code,agronholm/anyio,s1:B_OUTDIAG_POOL_R8,2,0.03176644685224005,1.3267968152401888,0.028583557119487204,0.026619713746796808,0.26766466711230563,0.3525659606336361,0.5241012197333949,0.9454545454545454,0
TEST_NEW__code__agronholm__anyio__0,code,agronholm/anyio,s1:B_OUTDIAG_OS4x2,2,0.03176644685224005,1.3267968152401888,0.028583557119487204,0.026619713746796808,0.26766466711230563,0.3525659606336361,0.5241012197333949,0.9454545454545454,0
TEST_NEW__code__agronholm__anyio__0,code,agronholm/anyio,s2:B_OUTDIAG_POOL_R8,2,0.03176644685224005,1.3267968152401888,0.028583557119487204,0.026619713746796808,0.26766466711230563,0.3525659606336361,0.5241012197333949,0.9454545454545454,0
TEST_NEW__code__agronholm__anyio__0,code,agronholm/anyio,s2:B_OUTDIAG_OS4x2,2,0.03176644685224005,1.3267968152401888,0.028583557119487204,0.026619713746796808,0.26766466711230563,0.3525659606336361,0.5241012197333949,0.9454545454545454,0
TEST_NEW__code__agronholm__anyio__0,code,agronholm/anyio,s2:DW_POOL_R8,3,0.036089395654169514,1.323423474538836,0.025210216418134312,0.02953685459691137,0.2376751294987091,0.48007556871689533,0.8015257641449491,0.9393939393939394,0
TEST_NEW__code__agronholm__anyio__0,code,agronholm/anyio,ALL_LOW,4,0.05025690096261931,1.3325017684537728,0.03428851033307097,0.03764869017441054,0.43685844018169345,0.7722015158614546,1.031801948904799,0.9171717171717172,0
TEST_NEW__code__agronholm__anyio__0,code,agronholm/anyio,ALL_HIGH,5,0.0036501721114151594,1.3004696596504774,0.0022564015297756005,0.0031364868688443094,0.03503296843197761,0.042672466639203134,0.057778636994582855,0.9797979797979798,0
TEST_NEW__code__agronholm__anyio__1,code,agronholm/anyio,s0:DW_OS4x2,0,0.030612965893238805,1.6052091964685278,0.033673359482234586,0.02896904451200215,0.23267138188425415,0.29052093021543257,0.32331855834685813,0.9151515151515152,0
TEST_NEW__code__agronholm__anyio__1,code,agronholm/anyio,s1:DW_POOL_R8,0,0.030612965893238805,1.6052091964685278,0.033673359482234586,0.02896904451200215,0.23267138188425415,0.29052093021543257,0.32331855834685813,0.9151515151515152,0
TEST_NEW__code__agronholm__anyio__1,code,agronholm/anyio,s2:DW_OS4x2,0,0.030612965893238805,1.6052091964685278,0.033673359482234586,0.02896904451200215,0.23267138188425415,0.29052093021543257,0.32331855834685813,0.9151515151515152,0
TEST_NEW__code__agronholm__anyio__1,code,agronholm/anyio,s0:DW_POOL_R8,1,0.03242901857204707,1.6026991987587018,0.031163361772408728,0.02763219907235023,0.20941596713679134,0.40678979655557707,0.5506202339845985,0.9232323232323232,0
TEST_NEW__code__agronholm__anyio__1,code,agronholm/anyio,s0:B_OUTDIAG_POOL_R8,2,0.02838862487437737,1.6095552848789458,0.03801944789265271,0.02434323699007619,0.19660604751685065,0.3467964052911404,0.7727864986296219,0.9151515151515152,0
TEST_NEW__code__agronholm__anyio__1,code,agronholm/anyio,s0:B_OUTDIAG_OS4x2,2,0.02838862487437737,1.6095552848789458,0.03801944789265271,0.02434323699007619,0.19660604751685065,0.3467964052911404,0.7727864986296219,0.9151515151515152,0
TEST_NEW__code__agronholm__anyio__1,code,agronholm/anyio,s1:DW_OS4x2,2,0.02838862487437737,1.6095552848789458,0.03801944789265271,0.02434323699007619,0.19660604751685065,0.3467964052911404,0.7727864986296219,0.9151515151515152,0
TEST_NEW__code__agronholm__anyio__1,code,agronholm/anyio,s1:B_OUTDIAG_POOL_R8,2,0.02838862487437737,1.6095552848789458,0.03801944789265271,0.02434323699007619,0.19660604751685065,0.3467964052911404,0.7727864986296219,0.9151515151515152,0
TEST_NEW__code__agronholm__anyio__1,code,agronholm/anyio,s1:B_OUTDIAG_OS4x2,2,0.02838862487437737,1.6095552848789458,0.03801944789265271,0.02434323699007619,0.19660604751685065,0.3467964052911404,0.7727864986296219,0.9151515151515152,0
TEST_NEW__code__agronholm__anyio__1,code,agronholm/anyio,s2:B_OUTDIAG_POOL_R8,2,0.02838862487437737,1.6095552848789458,0.03801944789265271,0.02434323699007619,0.19660604751685065,0.3467964052911404,0.7727864986296219,0.9151515151515152,0
TEST_NEW__code__agronholm__anyio__1,code,agronholm/anyio,s2:B_OUTDIAG_OS4x2,2,0.02838862487437737,1.6095552848789458,0.03801944789265271,0.02434323699007619,0.19660604751685065,0.3467964052911404,0.7727864986296219,0.9151515151515152,0
TEST_NEW__code__agronholm__anyio__1,code,agronholm/anyio,s2:DW_POOL_R8,3,0.030769938364512264,1.5984347516611856,0.026898914674892707,0.0268130437167559,0.24156270783975767,0.38930978339948724,0.6592509159897291,0.9292929292929293,0
TEST_NEW__code__agronholm__anyio__1,code,agronholm/anyio,ALL_LOW,4,0.0453561882172319,1.6139075439926003,0.04237170700630693,0.03657116653920247,0.37135562707968156,0.521839871270528,0.8314284343795664,0.9111111111111111,0
TEST_NEW__code__agronholm__anyio__1,code,agronholm/anyio,ALL_HIGH,5,0.003664194220526482,1.5723950541104748,0.0008592171241814982,0.00332721511540106,0.029391627922662287,0.03345822122124241,0.037893702321906066,0.9858585858585859,0
TEST_NEW__code__beetbox__beets__0,code,beetbox/beets,s0:DW_OS4x2,0,0.028106707652517146,1.915521820822264,0.008956974800274154,0.026130010141770108,0.19281076007349046,0.2265995503193265,0.25611634613243717,0.9454545454545454,0
TEST_NEW__code__beetbox__beets__0,code,beetbox/beets,s1:DW_POOL_R8,0,0.028106707652517146,1.915521820822264,0.008956974800274154,0.026130010141770108,0.19281076007349046,0.2265995503193265,0.25611634613243717,0.9454545454545454,0
TEST_NEW__code__beetbox__beets__0,code,beetbox/beets,s2:DW_OS4x2,0,0.028106707652517146,1.915521820822264,0.008956974800274154,0.026130010141770108,0.19281076007349046,0.2265995503193265,0.25611634613243717,0.9454545454545454,0
TEST_NEW__code__beetbox__beets__0,code,beetbox/beets,s0:DW_POOL_R8,1,0.029534442997524862,1.922761080585271,0.016196234563281214,0.022859848028268896,0.2073186948116176,0.3214915052613292,0.47596953365208927,0.9232323232323232,0
TEST_NEW__code__beetbox__beets__0,code,beetbox/beets,s0:B_OUTDIAG_POOL_R8,2,0.02843268520640175,1.9274105878731467,0.020845741851156827,0.022744699556297456,0.1779985009830555,0.30781320666896994,0.7300820689206582,0.9353535353535354,0
TEST_NEW__code__beetbox__beets__0,code,beetbox/beets,s0:B_OUTDIAG_OS4x2,2,0.02843268520640175,1.9274105878731467,0.020845741851156827,0.022744699556297456,0.1779985009830555,0.30781320666896994,0.7300820689206582,0.9353535353535354,0
TEST_NEW__code__beetbox__beets__0,code,beetbox/beets,s1:DW_OS4x2,2,0.02843268520640175,1.9274105878731467,0.020845741851156827,0.022744699556297456,0.1779985009830555,0.30781320666896994,0.7300820689206582,0.9353535353535354,0
TEST_NEW__code__beetbox__beets__0,code,beetbox/beets,s1:B_OUTDIAG_POOL_R8,2,0.02843268520640175,1.9274105878731467,0.020845741851156827,0.022744699556297456,0.1779985009830555,0.30781320666896994,0.7300820689206582,0.9353535353535354,0
TEST_NEW__code__beetbox__beets__0,code,beetbox/beets,s1:B_OUTDIAG_OS4x2,2,0.02843268520640175,1.9274105878731467,0.020845741851156827,0.022744699556297456,0.1779985009830555,0.30781320666896994,0.7300820689206582,0.9353535353535354,0
TEST_NEW__code__beetbox__beets__0,code,beetbox/beets,s2:B_OUTDIAG_POOL_R8,2,0.02843268520640175,1.9274105878731467,0.020845741851156827,0.022744699556297456,0.1779985009830555,0.30781320666896994,0.7300820689206582,0.9353535353535354,0
