experiment_id,profile,candidate,baseline,window,N,status,mean_KL_candidate,mean_KL_baseline,gain,gain_CI95,mean_NLL_difference,NLL_difference_CI95,wins,ties,losses,n_KL,n_NLL,harmful_KL_mass,beneficial_KL_mass
allocation-confirmation,P_STORE,B_JOINT8_P_STORE,B_DAMP8_P_STORE,prefix256,12,DEFINED,0.0009126196541092636,0.0010005044469304247,0.08784048195966943,"[0.04822727840705124, 0.12155076071587373]",0.00022503573992192796,"[-0.0016607960442426104, 0.0022008218790951694]",7,0,5,2880,2880,0.6928559716296003,0.9459641749545438
allocation-confirmation,P_STORE,B_JOINT8_P_STORE,B_DAMP8_P_STORE,prefix512,12,UNDEFINED_FULL_PANEL,,,,,,,,,,5952,5952,,
allocation-confirmation,P_STORE,B_JOINT8_P_STORE,B_DAMP8_P_STORE,primary1024,12,UNDEFINED_FULL_PANEL,,,,,,,,,,12096,12084,,
allocation-confirmation,P_STORE,B_JOINT8_P_STORE,B_DAMP8_P_STORE,late512,12,UNDEFINED_FULL_PANEL,,,,,,,,,,6144,6132,,
allocation-confirmation,P_STORE,B_JOINT8_P_STORE,B_DIAG8_P_STORE,prefix256,12,DEFINED,0.0009126196541092636,0.0009666022844410677,0.055847819936634235,"[-0.014978153478921351, 0.1467524256269065]",0.00023459502905258883,"[-0.0008832386431667072, 0.0014889484159547935]",5,0,7,2880,2880,0.7167774769717854,0.8722474523273811
allocation-confirmation,P_STORE,B_JOINT8_P_STORE,B_DIAG8_P_STORE,prefix512,12,UNDEFINED_FULL_PANEL,,,,,,,,,,5952,5952,,
allocation-confirmation,P_STORE,B_JOINT8_P_STORE,B_DIAG8_P_STORE,primary1024,12,UNDEFINED_FULL_PANEL,,,,,,,,,,12096,12084,,
allocation-confirmation,P_STORE,B_JOINT8_P_STORE,B_DIAG8_P_STORE,late512,12,UNDEFINED_FULL_PANEL,,,,,,,,,,6144,6132,,
allocation-confirmation,P_STORE,B_JOINT8_P_STORE,B_U8_P_STORE,prefix256,12,DEFINED,0.0009126196541092636,0.0012806251209569813,0.28736392940091304,"[0.24759198622789214, 0.3287429772669057]",0.00027569267074868616,"[-0.0019873024425925666, 0.0024839311601673447]",12,0,0,2880,2880,0.538928018911975,1.5987837634334015
allocation-confirmation,P_STORE,B_JOINT8_P_STORE,B_U8_P_STORE,prefix512,12,UNDEFINED_FULL_PANEL,,,,,,,,,,5952,5952,,
allocation-confirmation,P_STORE,B_JOINT8_P_STORE,B_U8_P_STORE,primary1024,12,UNDEFINED_FULL_PANEL,,,,,,,,,,12096,12084,,
allocation-confirmation,P_STORE,B_JOINT8_P_STORE,B_U8_P_STORE,late512,12,UNDEFINED_FULL_PANEL,,,,,,,,,,6144,6132,,
allocation-confirmation,P_STORE,B_DIAG8_P_STORE,B_DAMP8_P_STORE,prefix256,12,DEFINED,0.0009666022844410677,0.0010005044469304247,0.03388506927017643,"[-0.062392925415618736, 0.11353597748283628]",-9.559289130661422e-06,"[-0.0013374080763978063, 0.0012747341420444743]",7,0,5,2880,2880,0.7926010484422389,0.8902392764115866
allocation-confirmation,P_STORE,B_DIAG8_P_STORE,B_DAMP8_P_STORE,prefix512,12,UNDEFINED_FULL_PANEL,,,,,,,,,,5952,5952,,
allocation-confirmation,P_STORE,B_DIAG8_P_STORE,B_DAMP8_P_STORE,primary1024,12,UNDEFINED_FULL_PANEL,,,,,,,,,,12096,12084,,
allocation-confirmation,P_STORE,B_DIAG8_P_STORE,B_DAMP8_P_STORE,late512,12,UNDEFINED_FULL_PANEL,,,,,,,,,,6144,6132,,
allocation-confirmation,P_STORE,B_DIAG8_P_STORE,B_U8_P_STORE,prefix256,12,DEFINED,0.0009666022844410677,0.0012806251209569813,0.24521058612472912,"[0.17435946169751737, 0.3135544162016357]",4.1097641696097344e-05,"[-0.001909098950073322, 0.0018865809802529419]",12,0,0,2880,2880,0.6707606197124042,1.575146388878235
allocation-confirmation,P_STORE,B_DIAG8_P_STORE,B_U8_P_STORE,prefix512,12,UNDEFINED_FULL_PANEL,,,,,,,,,,5952,5952,,
allocation-confirmation,P_STORE,B_DIAG8_P_STORE,B_U8_P_STORE,primary1024,12,UNDEFINED_FULL_PANEL,,,,,,,,,,12096,12084,,
allocation-confirmation,P_STORE,B_DIAG8_P_STORE,B_U8_P_STORE,late512,12,UNDEFINED_FULL_PANEL,,,,,,,,,,6144,6132,,
allocation-confirmation,P_PRE,B_JOINT8_P_PRE,B_DAMP8_P_PRE,prefix256,12,DEFINED,0.0009175609519084301,0.0009796852000237073,0.06341245954697883,"[-0.011346583815373078, 0.11873162745518455]",-0.0004922314877559517,"[-0.00224369981728606, 0.0010181855584783087]",9,0,3,2880,2880,0.7237273471175982,0.9026451816895963
allocation-confirmation,P_PRE,B_JOINT8_P_PRE,B_DAMP8_P_PRE,prefix512,12,DEFINED,0.000996277393618618,0.0011017473217959462,0.09572968873244259,"[0.06307653375340416, 0.12443327669692028]",-0.0008800667609276407,"[-0.0021631715638472573, 0.00023560206772288338]",10,0,2,5952,5952,1.5279530275727464,2.155710040084204
allocation-confirmation,P_PRE,B_JOINT8_P_PRE,B_DAMP8_P_PRE,primary1024,12,DEFINED,0.0011717296687019513,0.001301183867750228,0.09948955121316216,"[0.07284019115524984, 0.12194500814091565]",-0.0004554871142147941,"[-0.0014712433401689528, 0.0004753180974293317]",10,0,2,12096,12084,3.7968342636659065,5.362712255353863
